HouseTeam,AwayTeam,HouseTeamRating,AwayTeamRating,HouseTeamScore
"Man United",Leicester,67,67,1
"West Ham",Everton,67,65,2
Tottenham,Newcastle,68,66,5
"Crystal Palace",Arsenal,67,67,3
Burnley,Everton,66,65,3
Newcastle,Wolves,66,0,1
Everton,"Man United",65,67,1
Arsenal,Brighton,67,67,1
Southampton,Chelsea,66,69,0
Watford,Leeds,65,65,0
"Aston Villa",Tottenham,66,68,0
Brentford,"West Ham",66,67,2
Leicester,"Crystal Palace",67,67,2
Norwich,Burnley,64,66,2
"Man City",Liverpool,71,70,2
Tottenham,Brighton,68,67,0
"Man United",Norwich,67,64,3
Southampton,Arsenal,66,67,1
Watford,Brentford,65,66,1
Newcastle,Leicester,66,67,2
"West Ham",Burnley,67,66,1
Liverpool,"Man United",70,67,4
Chelsea,Arsenal,69,67,2
Everton,Leicester,65,67,1
Newcastle,"Crystal Palace",66,67,1
"Man City",Brighton,71,67,3
Burnley,Southampton,66,66,2
Arsenal,"Man United",67,67,3
Leicester,"Aston Villa",67,66,0
"Man City",Watford,71,65,5
Norwich,Newcastle,64,66,0
Brentford,Tottenham,66,68,0
Brighton,Southampton,67,66,2
Burnley,Wolves,66,0,1
Chelsea,"West Ham",69,67,1
Liverpool,Everton,70,65,2
"Crystal Palace",Leeds,67,65,0
"Man United",Chelsea,67,69,1
Newcastle,Liverpool,66,70,0
"Aston Villa",Norwich,66,64,2
Southampton,"Crystal Palace",66,67,1
Watford,Burnley,65,66,1
Wolves,Brighton,0,67,0
Leeds,"Man City",65,71,0
Everton,Chelsea,65,69,1
Tottenham,Leicester,68,67,3
"West Ham",Arsenal,67,67,1
"Man United",Brentford,67,66,3
Brentford,Southampton,66,66,3
Burnley,"Aston Villa",66,66,1
Chelsea,Wolves,69,0,2
"Crystal Palace",Watford,67,65,1
Brighton,"Man United",67,67,4
Liverpool,Tottenham,70,68,1
Arsenal,Leeds,67,65,2
Leicester,Everton,67,65,1
Norwich,"West Ham",64,67,0
"Man City",Newcastle,71,66,5
"Aston Villa",Liverpool,66,70,1
Leeds,Chelsea,65,69,0
Leicester,Norwich,67,64,3
Watford,Everton,65,65,0
Wolves,"Man City",0,71,1
Tottenham,Arsenal,68,67,3
Tottenham,Burnley,68,66,1
"Aston Villa","Crystal Palace",66,67,1
Leeds,Brighton,65,67,1
Watford,Leicester,65,67,1
"West Ham","Man City",67,71,2
Wolves,Norwich,0,64,1
Everton,Brentford,65,66,2
Newcastle,Arsenal,66,67,2
Southampton,Liverpool,66,70,1
Everton,"Crystal Palace",65,67,3
"Aston Villa",Burnley,66,66,1
Chelsea,Leicester,69,67,1
Arsenal,Everton,67,65,5
Brentford,Leeds,66,65,1
Brighton,"West Ham",67,67,3
Burnley,Newcastle,66,66,1
Chelsea,Watford,69,65,2
"Crystal Palace","Man United",67,67,1
Leicester,Southampton,67,66,4
Liverpool,Wolves,70,0,3
"Man City","Aston Villa",71,66,3
Norwich,Tottenham,64,68,0
